SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_NS,Total_dwelings,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,P_Emp_FullT_Tot,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_Tot,P_Tot_Unemp_Tot,STATE_CODE_2016
213021344,400,2580,2612,534,212,171,6507,8604,8976,17578,1456,2203,774,900,2656,3399,2543,1815,949,562,321,6226,2681,338,134,467,2
213021345,39,508,682,220,133,42,1631,2491,2633,5124,380,764,298,328,712,824,797,586,283,123,32,1577,723,71,52,207,2
213021346,502,2035,2145,565,223,173,5643,7603,7851,15453,849,2079,1061,831,1398,2023,2725,2183,1343,630,330,4650,2557,248,104,412,2
213031347,757,2388,1926,569,240,298,6176,9189,9043,18230,1222,1908,997,1813,4024,2683,2031,1721,985,581,268,4779,2597,213,210,1024,2
213031348,1565,3025,1225,221,93,306,6441,8543,7800,16345,925,900,650,1950,4870,2577,1552,1294,751,524,341,4957,2904,226,158,935,2
213031349,317,1783,1604,410,179,101,4403,6068,6154,12216,691,1112,657,1263,2814,1881,1565,1232,629,260,130,4349,2041,187,91,479,2
213031350,466,1723,1112,169,52,88,3617,4571,4668,9235,798,916,287,549,1931,1909,1261,718,397,301,163,3278,1482,192,64,328,2
213031351,572,1955,1264,257,105,159,4309,5889,5567,11457,889,1044,445,891,2689,2042,1375,999,560,354,165,3602,1983,175,104,556,2
213031352,511,2407,2006,350,127,136,5534,7153,7650,14798,1149,1637,592,785,2678,2966,2115,1278,706,567,315,5410,2281,298,68,440,2
213041353,287,2053,2736,1076,691,254,7099,9944,10407,20345,1407,2857,1342,1208,2530,2787,2802,2377,1903,795,333,5846,2954,324,190,597,2
213041355,80,1283,2825,1035,642,151,6007,9973,10247,20216,1513,3346,1442,1354,3325,3475,2819,1735,883,265,50,6553,3176,328,185,691,2
213041356,332,2164,2349,848,531,272,6497,9328,9573,18906,1414,2583,1184,1286,2752,2463,2416,2287,1714,605,196,4771,2363,285,194,814,2
213041357,404,2500,3136,922,451,343,7755,11494,11945,23437,2232,3414,1330,1479,3938,3495,2601,2398,1660,616,268,6309,2783,322,213,962,2
